Job Title;Company Name;Job City;Job Rating;Job Post Date
Data Scientist;MobiTV, Inc;Emeryville;4.0;30+
Data Scientist;Upstart Network, Inc.;San Mateo;None;30+
Intern - ML / Data Science;Juniper Networks;Sunnyvale;4.1;8
Data Scientist, Apple Media Products;Apple;Santa Clara Valley;4.2;9
IT Sr. Data Scientist;Workforce Logiq;Santa Clara;2.6;8
Machine Learning Data Scientist;NVIDIA;Santa Clara;4.2;29
Product Data Scientist - Ads Data Science;Twitter;San Francisco;4.1;30+
Machine Learning Verification Engineer;dotData Inc.;San Mateo;None;1
Platform Data Scientist;ServiceNow;Santa Clara;3.6;9
Data Scientist;Osmo;Palo Alto;None;30+
Machine/Deep Learning Data Scientist;AppZen;San Jose;None;30+
Data Scientist;MachineZone;Palo Alto;2.6;30+
Data Scientist, SBG;Facebook;Menlo Park;4.2;30+
Senior Finance Data Analyst;Intuit;Mountain View;4.2;1
Staff Data Scientist - Deep Learning;The Climate Corporation;San Francisco;3.6;30+
Data Scientist/Analyst Santa Clara;Shape Security;Santa Clara;3.8;30+
Data Scientist, Machine Learning;Coursera;Mountain View;4.4;23
Data Scientist;Nauto;Palo Alto;None;30+
Product Insights Manager (Data Science);N3TWORK;San Francisco;None;2
Data Scientist;Cisco Systems;San Jose;4.1;20
Staff Infrastructure Data Scientist;Box;Redwood City;5.0;30+
Senior Data Scientist, Maps Metrics;Apple;Santa Clara Valley;4.2;2
Senior Data Scientist;Verdigris Technologies;Mountain View;None;30+
Data Scientist, Operations Data Science;Google;Mountain View;4.3;30+
Data Scientist / Statistician / Economist;Apple;Santa Clara Valley;4.2;30+
Staff Data Scientist - Data Science;Slack;San Francisco;3.7;30+
Senior Data Scientist - Economist - Freight Marketplace;Uber;San Francisco;3.8;30+
Senior Business Data Analyst - Anomaly Detection;Intuit;Mountain View;4.2;1
Staff Data Scientist;Affirm;San Francisco;3.8;30+
Flood Data Scientist: Hydrology;One Concern;Menlo Park;None;30+
Data & Applied Scientist;Microsoft;Sunnyvale;4.2;30+
Senior Data Scientist;Skip Scooters;San Francisco;3.6;30+
Principal Data Scientist;Clarivate Analytics;San Francisco;3.4;30+
Sr. Infrastructure Data Scientist;Box;Redwood City;5.0;30+
Senior Data Scientist - Ranking Algorithms;Faire;San Francisco;None;30+
Senior Data Scientist;eBay Inc.;San Francisco;3.9;30+
Senior Data Scientist, Talent Acquisition;Atlassian;San Francisco;4.5;30+
Senior Data Scientist;DISH Network;Foster City;3.3;4
Lead Data Scientist;AETNA;San Francisco;3.7;30+
Behavioral Data Scientist, Health Strategic Initiatives;Apple;Santa Clara Valley;4.2;30+
Data Scientist Intern (PhD), People Analytics, Summer 2020;Google;Sunnyvale;4.3;8
Data Scientist;Formation;San Francisco;None;30+
People Analytics Data Scientist - (B2);Applied Materials Inc.;Santa Clara;3.9;19
Machine Learning Evangelist;SigOpt;San Francisco;None;30+
Associate Engineer II/ Engineer I, Genomics Data;AbbVie;Redwood City;4.0;9
Motif Capital – Data Scientist;Motif Investing;San Mateo;2.0;30+
Data Scientist;BlackLine;Pleasanton;3.7;30+
Siri - Evaluation Scientist - Siri Data Organization;Apple;Santa Clara Valley;4.2;30+
Data Scientist, Auction & Delivery Intern;Facebook;Menlo Park;4.2;30+
Senior Data Scientist - Ranking Algorithms;Faire;San Francisco;None;30+
Principal Data Scientist, Bioinformatics;Roche;Santa Clara;4.2;4
Senior Data Scientist;Skip Scooters;San Francisco;3.6;30+
Associate Engineer II/ Engineer I, Genomics Data;AbbVie;Redwood City;4.0;9
Senior Data Analyst;Golden Gate University;San Francisco;4.2;30+
Contingent: Senior Systems/Data Analyst;First Republic Bank;San Francisco;3.9;8
People Analytics Data Scientist - (B2);Applied Materials Inc.;Santa Clara;3.9;19
Senior Manager Data Scientist;Womply San Francisco;San Francisco;None;3
VP Data & Analytics;Gap Inc.;San Francisco;3.8;30+
Senior Data Analyst, Customer Engagement;Atlassian;San Francisco;4.5;16
Behavioral Data Scientist, Health Strategic Initiatives;Apple;Santa Clara Valley;4.2;30+
Data Scientist;ELT Solutions;San Jose;None;30+
Data Scientist, Integrity - Signals, Detection and Recommend...;Facebook;Menlo Park;4.2;30+
Senior Manager Data Scientist;Womply;San Francisco;2.9;3
Data Scientist - Deep Learning;Verb Surgical;Mountain View;4.3;30+
Sr. Data Analyst Freight;Uber;San Francisco;3.8;30+
Data Scientist;Edison Software, Inc.;San Jose;None;30+
Senior Data Scientist;Gap Inc.;San Francisco;3.8;30+
Sr. Data Scientist- Fraud;Branch;Redwood City;5.0;30+
Data Science Intern;eHealth;Santa Clara;3.6;1
Statistician;SF VA Medical Center;San Francisco;4.5;30+
Data Scientist, Cloud;Calix;San Jose;3.2;30+
Data Scientist;Nauto;Palo Alto;None;30+
Data Scientist;Confluent;Mountain View;4.2;30+
Partner, Data Science;Pathrise;San Francisco;None;30+
Data Scientist Intern (PhD), People Analytics, Summer 2020;Google;Sunnyvale;4.3;8
Data Scientist - Batteries;Apple;Santa Clara Valley;4.2;30+
Decision Scientist, Next-Gen Risk;PayPal;San Jose;3.9;Today
Data Scientist;Waymo;Mountain View;3.0;30+
Data Integrity Analyst (Data Scientist);Apple;Santa Clara Valley;4.2;30+
Data Scientist, Calibra Growth (Blockchain);Facebook;Menlo Park;4.2;30+
Data Science, Intern (Personalization);Ancestry;San Francisco;3.9;30+
Head of Data Science;BioTrillion;San Francisco;None;30+
Senior Data Scientist;Affirm;San Francisco;3.8;30+
Senior Manager I, Finance, Ecomm - Data Scientist Finance;Walmart;San Bruno;3.5;8
Data Scientist (Machine Learning);Apple;Santa Clara Valley;4.2;30+
Senior Data Scientist;Gametime United, Inc.;San Francisco;3.4;30+
Staff Data Scientist - Business Analytics;Intuit;Mountain View;4.2;1
Scientist, Data Mining;TCL Research America;San Jose;3.3;30+
Data Scientist;Adobe;San Jose;4.3;30+
Data Science Intern - Undergrad;Proofpoint;Sunnyvale;3.9;12
Field Data Capture Specialist (Contract);Blue River Technology;Sunnyvale;3.8;4
