Job Title;Company Name;Job City;Job Rating;Job Post Date
Undergrad Intern – SCI (Digital Health & Innovation (Data Sc...;Amgen;Thousand Oaks;4.1;13
Sr. Data Analyst (Pharmacy);Molina Healthcare;Long Beach;3.3;4
Statistical Programmer;Murphy Research;Santa Monica;None;30+
Senior Scientist Global Data Science & Analytics;Abbott Laboratories;Sylmar;4.0;30+
Technical Client Director - Data & Analytics;Neudesic LLC;Irvine;2.9;30+
Language Engineer – Alexa, Echo, Skills, Machine Learning;Amazon.com Services, Inc.;Irvine;3.6;30+
Machine Learning Engineer;Laserfiche;Long Beach;3.3;30+
Data Analyst, Sr.;Honda R&D Americas, Inc.;Torrance;4.0;30+
Project Scientist - Medical Imaging, Deep Learning;Cedars-Sinai;Los Angeles;4.2;30+
Data Science Analyst, Senior/Data Science Analyst, Principal...;Orange County Transportation Authority;Orange;4.0;30+
Senior Business/Data Analyst;Accurate Background;Irvine;3.7;30+
Senior Data Analyst - Data Processing & Coding;Ipsos North America;Culver City;3.7;30+
Group Director, Data Science;OMD;Burbank;3.8;27
Accenture Strategy - Enterprise Data & Analytics Consultant;Accenture;Los Angeles;4.0;15
Senior Data Scientist, Growth Marketing Analytics;TrueCar, Inc.;Santa Monica;3.6;30+
Senior Machine Learning Scientist;Beyond Limits;Glendale;3.8;30+
Director, Consumer Data Science;The Walt Disney Studios;Burbank;4.1;12
Software Engineer – Machine Learning;Lykuid;Costa Mesa;None;27
Senior Customer Data Analyst : 20-00255;Akraya Inc.;Woodland Hills;3.6;7
Senior Data Analyst, Digital Marketing Analytics;Kaiser Permanente;Burbank;4.2;30+
Senior NLP Scientist;GumGum;Santa Monica;3.8;30+
Associate, AI Engineer;KPMG;Irvine;4.0;26
Machine Learning Engineer, AR/VR Discovery and Distribution;Facebook;Los Angeles;4.2;30+
SENIOR STATISTICAL ANALYST;Alto Riot;Los Angeles;None;30+
Senior Machine Learning Engineer;TrueCar, Inc.;Santa Monica;3.6;30+
Software Engineer, Machine Learning 3+ Years Experience - Lo...;Snapchat;Los Angeles;3.4;2
Software Engineer - Machine Learning;Belkin;Torrance;3.7;30+
Specialist - Department of Electrical Engineering and Comput...;The Regents of the University of California;Irvine;3.8;30+
Strategic Analytics Manager;AltaMed Health Services Corporation;Los Angeles;3.6;30+
Machine Learning Engineer, AAG Engineering;Bain & Company Inc;Los Angeles;4.3;30+
Product Manager - Data & Integrations;Retention Science;Santa Monica;5.0;30+
Data Science Specialist;The Aerospace Corporation;El Segundo;4.0;17
Senior Process and Data Analyst – Digital Transformation;Agility Logistics;Los Angeles;3.9;30+
Junior Statistician;UCLA Health;Los Angeles;4.1;7
AI Applied Scientist - Advanced Analytics Group;Capital Group;Los Angeles;3.9;30+
Senior Machine Learning Engineer;Amgen;Thousand Oaks;4.1;19
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;Los Angeles;4.0;30+
Sr. Data Analyst, Ad Operations;System1;Venice;None;30+
Administrative Assistant II - Artificial Intelligence;USC;Marina del Rey;4.2;30+
Mathematician/Numerical Analyst;The Aerospace Corporation;El Segundo;4.0;16
Senior Software Engineer - Data Science;Cylance, Inc.;Irvine;3.5;27
AI Engineer;Operating Company INFINITY WARD, INC.;Woodland Hills;None;30+
PhD Statistician;RAND Corporation;Santa Monica;3.9;30+
Senior Process and Data Analyst – Digital Transformation;Agility Logistics;Los Angeles;3.9;30+
Mathematician/Numerical Analyst;The Aerospace Corporation;El Segundo;4.0;16
Senior Machine Learning Engineer;Amgen;Thousand Oaks;4.1;19
Manager, Medical Device Epidemiology, Real World Data Scienc...;Johnson & Johnson Family of Companies;Irvine;4.2;19
Senior Data Science / Machine Learning Engineer;Direct-to-Consumer and International;Burbank;None;30+
AI Software Engineer;2K Games;Foothill Ranch;3.6;30+
AI Engineer;Operating Company INFINITY WARD, INC.;Woodland Hills;None;30+
Senior Data Analyst - Operations Analyst;Southern California Edison;Rosemead;4.0;30+
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;Los Angeles;4.0;30+
Senior Machine Learning Engineer - Conversational AI;Zillow;Irvine;3.8;30+
Associate Manager Data Science & Analytics;Mattel;El Segundo;4.0;30+
Senior Software Engineer - Data Science;Cylance, Inc.;Irvine;3.5;27
Machine Learning Engineer - Infrastructure;GumGum;Santa Monica;3.8;30+
Member of Technical Staff (IC2) - OCI Data Science;Oracle;Culver City;3.8;30+
Research Engineer, Machine Learning;Snapchat;Los Angeles;3.4;30+
Senior Data Analyst;Epsilon;Costa Mesa;3.4;30+
Machine Learning Software Engineer;Irvine Sensors Corporation;Costa Mesa;3.8;30+
Director of Business Intelligence;Ez Texting;Santa Monica;None;6
Senior Data Analyst, North America (Sales Operations);Beckman Coulter Diagnostics;Brea;3.7;12
Senior Statistician;UCLA;Los Angeles;4.3;12
Sr Statistical Programmer;Pharmaceutical Research Associates, Inc;Santa Monica;None;30+
Director, Data Science;Tala;Santa Monica;None;30+
Software Engineer - Machine Learning;Physical Optics Corporation;Torrance;3.4;7
Senior Machine Learning Engineer;Deep 6 AI;Pasadena;None;15
Sr. Director Data Science & Analytics;NBCUniversal;Universal City;4.0;30+
Senior Statistician;UCLA Health;Los Angeles;4.1;30+
Associate, AI Engineer;KPMG;Irvine;4.0;26
Insights and Data Project Manager/ Travel required;Capgemini;Burbank;3.8;30+
Senior Machine Learning Engineer;BlackBerry;Irvine;4.0;22
Senior Credit Risk Data Analyst;AmeriHome Mortgage;Westlake Village;2.8;14
Senior Machine Learning Engineer;Ticketmaster;Hollywood;3.9;30+
Senior Machine Learning Engineer;Cylance, Inc.;Irvine;3.5;22
Senior Software Engineer - Data Engineering & Architecture;Beyond Limits;Glendale;3.8;22
Director, Content Analytics & Measurement, Peacock, Direct-t...;NBCUniversal;Los Angeles;4.0;30+
Senior Data Analyst Leader - Medicare Business Analytics;Kaiser Permanente;Burbank;4.2;11
Specialist SA, Machine Learning/AI Services;Amazon Web Services, Inc.;Santa Monica;3.6;30+
Senior Software Engineer - Artificial Intelligence Group;Jet Propulsion Laboratory;La Cañada Flintridge;4.2;5
Statistical Research Programmer;RAND Corporation;Santa Monica;3.9;30+
Senior Clinical Data Analyst;St. Joseph Health / Covenant Health;Orange;3.6;30+
Director of Data and Analytics ( Pro Channel);Masco;Santa Ana;3.5;30+
Accenture Strategy Enterprise Data and Analytics Manager;Accenture;Los Angeles;4.0;15
Director of Data and Analytics ( Pro Channel);Behr;Santa Ana;3.8;30+
Sr. Analyst, Revenue Data Science;Princess Cruises;Santa Clarita;4.1;30+
Engineering Director, Sensor Algorithms;Medtronic;Northridge;3.9;30+
Business/Data Analyst Senior;PARKER HANNIFIN CORP;Irvine;3.8;26
Specialist SA, Machine Learning/AI Services - Nationwide Opp...;Amazon Web Services, Inc.;Santa Monica;3.6;30+
Azure Data and AI Architect;Avanade;Los Angeles;3.7;30+
Sr. Artificial Intelligence Speech Engineer;Masimo;Irvine;3.5;30+
Postdoctoral Scholar for Multimodal Machine Learning and Nat...;USC;Playa Vista;4.2;30+
Senior Applied Machine Learning Engineer;Retention Science;Santa Monica;5.0;30+
Senior Statistician - Neurovascular Therapies;Medtronic;Irvine;3.9;30+
Postdoctoral Fellow - Mathematical and Computational Genomic...;Amgen;Thousand Oaks;4.1;30+
Statistician, Biomarkers/Genomics (Sr. Manager);Pfizer;Los Angeles;4.2;30+
Artificial Intelligence, Senior Consultant - Applied Artific...;Deloitte;Los Angeles;4.0;30+
Senior Associate, Data & Analytics Modeler, Natural Language...;KPMG;Irvine;4.0;30+
Sr. Associate, AI Engineer;KPMG;Irvine;4.0;30+
Data Science & Artificial Intelligence, 2020 Graduate Intern;The Aerospace Corporation;El Segundo;4.0;16
Conversational Artificial Intelligence Architect, Manger - A...;Deloitte;Los Angeles;4.0;30+
Senior Data Analyst - Enterprise Risk Management;Green Dot Corporation;Pasadena;3.4;30+
Sales Project Manager- Road & Traffic Statistics;Kistler Instrument Corp;Los Angeles;3.5;30+
Senior Clinical Data Analyst - Quality Management;St. Joseph Hospital Orange;Orange;4.0;30+
Sr. Programmer, Statistical Programming;Spectrum Pharmaceuticals Inc.;Irvine;None;30+
Principal Statistician;UCLA Health;Los Angeles;4.1;30+
Hi-Tech Industry –AI/Data Science/Deep Machine Learning Seni...;Deloitte;Los Angeles;4.0;30+
Software Development Engineer - AWS AI;Amazon.com Services LLC;Manhattan Beach;3.6;1
Software Development Engineer - Prime AI;Amazon.com Services LLC;Santa Monica;3.6;22
Principal Artificial Intelligence Engineer;Kyocera Document Solutions Development America Inc...;Gardena;None;12
Manager, Data & Analytics Modeler, Machine Learning;KPMG;Irvine;4.0;30+
Engineer, Analysis/Systems Engineering (Statistician);Aerojet Rocketdyne;Canoga Park;3.6;30+
Software Development Engineer - Prime AI / ML;Amazon.com Services LLC;Santa Monica;3.6;30+
Consumer Product Strategy Analyst III, Operational Reporting;Bank of America;Brea;3.8;30+
Manager, Statistical Programming;Kite Pharma;Santa Monica;3.9;30+
Telco-Cognitive Machine Learning Senior Manager;Deloitte;Los Angeles;4.0;30+
Machine Learning Engineer, Sr.;AeroVironment, Inc.;Simi Valley;3.5;30+
Applied Artificial Intelligence - Artificial Intelligence -...;Deloitte;Los Angeles;4.0;30+
Conversational Artificial Intelligence Designer, Manager - A...;Deloitte;Los Angeles;4.0;30+
Artificial Intelligence, Senior Manager - Applied Artificial...;Deloitte;Los Angeles;4.0;30+
Senior Machine Learning/Artificial Intelligence/NLP Engineer;QTC Management, Inc.;San Dimas;3.0;6
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;Los Angeles;4.0;30+
Sr Manager, Statistical Programming;Kite Pharma;Santa Monica;3.9;30+
Machine Learning Engineer, Principal;AeroVironment, Inc.;Simi Valley;3.5;30+
Telco-Media Data Science Senior Manager;Deloitte;Costa Mesa;4.0;17
Conversational Artificial Intelligence Architect, Manager -...;Deloitte;Los Angeles;4.0;30+
Principal SW Development Engineer UI/UX - AI - Product Devel...;AVEVA Software;Lake Forest;4.0;30+
AI/ML Cloud Deployment Engineer- Senior Engineer;Deloitte;Los Angeles;4.0;30+
Program Manager (Predictive Modeling);Molina Healthcare;Long Beach;3.3;30+
Full Stack Artificial Intelligence Architect, Manager - Appl...;Deloitte;Los Angeles;4.0;30+
Artificial Intelligence, Senior Consultant - Applied Artific...;Deloitte;Los Angeles;4.0;30+
Artificial Intelligence Architect, Manager - Applied Artific...;Deloitte;Los Angeles;4.0;30+
AI/ML Cloud Deployment Engineer - Senior Architect;Deloitte;Los Angeles;4.0;30+
Artificial Intelligence, Senior Manager - Applied Artificial...;Deloitte;Los Angeles;4.0;30+
Data Scientist;BrandRep;Santa Ana;3.8;Just
Senior Data Scientist;Dsquare;Los Angeles;None;5
Data Scientist;Yumi;Los Angeles;None;7
Data Scientist;Valence Media;Beverly Hills;None;30+
Data Scientist/Visualization Master;Intermedia Advertising;Los Angeles;4.1;7
Senior Data Scientist;Just Auto Insurance;Los Angeles;3.6;30+
Junior Data Scientist;Ranker;Los Angeles;3.2;30+
Data Scientist;RAPP;Los Angeles;3.6;22
Data Scientist;Gustaine;Orange;None;30+
Data Scientist / Analyst - Intermediate;Health Care Consultants, Inc.;Rancho Cucamonga;5.0;30+
Data Scientist;Retina AI;Santa Monica;None;30+
Data Scientist;Scratch Financial Inc.;Pasadena;None;30+
Data Scientist;glitchAI;Los Angeles;None;30+
Data Scientist, Product Analysis;Niantic;Culver City;None;30+
Senior Data Scientist;ZEFR;Marina del Rey;3.3;1
Data Scientist;Ranker;Los Angeles;3.2;13
Data Strategist & Analyst;Chicology;Industry;3.8;Today
Data Science;TransVoyant;Los Angeles;3.6;8
VP of Data & Systems (Machine Learning / AI / Deep Learning);CGS Business Solutions;Los Angeles;4.9;15
Machine Learning Engineer & Researcher;Pex;Los Angeles;3.9;Just
Data Scientist, Marketing;Tinder;West Hollywood;4.8;30+
Data Scientist;Adavance2;Los Angeles;None;30+
Senior Data Analyst;sweetgreen;Los Angeles;3.7;23
Associate Data Scientist (Sales Engineering);Factual;Los Angeles;None;30+
Data Engineer / Data Scientist - Contributor;Hyperloop Transportation Technologies;Los Angeles;4.3;30+
Senior Data Scientist;GoodRx;Santa Monica;5.0;22
Engineer II - Data Scientist;HRL Laboratories, LLC;Malibu;3.5;30+
Data Scientist;Accuride International;Santa Fe Springs;4.3;26
Data Scientist;Anchor Loans LP;Calabasas;None;30+
Lead Data Scientist;CitiusTech;Lake Forest;3.9;30+
Data Scientist;Driveway;Aliso Viejo;4.1;30+
Machine Learning Engineer;SimInsights;Lake Forest;None;30+
STATISTICAL ANALYST;California FAIR Plan Association;Los Angeles;None;19
Lisp Engineer - AI (Natural Language Reasoning);MIND.AI;Irvine;None;30+
Senior Data Scientist;Factual;Los Angeles;None;30+
Sr. Data Scientist;Trace3;Irvine;3.3;30+
Engineer II - Semiconductor Data Scientist;HRL Laboratories, LLC;Malibu;3.5;20
AI Scientist - Symbolic AI (Natural Language Reasoning);MIND AI;Irvine;None;30+
Computational Linguist - AI (Natural Language Reasoning);MIND AI;Irvine;None;28
NLP engineer;Virtual Ventures;Los Angeles;None;30+
Data Scientist;Green Street Advisors, LLC;Newport Beach;None;30+
Engineer Machine Learning;InvolveSoft;Santa Monica;5.0;30+
Data Scientist / Data Analytics Manager– Financial Instituti...;Northrop Grumman Federal Credit Union;Gardena;3.0;30+
Senior Revenue Data Analyst;Honey;Los Angeles;4.0;30+
Senior Data Analyst;MobilityWare;Irvine;None;8
NLP Research Scientist (Los Angeles);DiDi Labs;Los Angeles;None;30+
Summer Internship in Machine Learning;HRL Laboratories, LLC;Malibu;3.5;6
Data Scientist;Tamara Mellon;West Hollywood;None;30+
Senior Data Analyst;DISQO;Glendale;None;30+
Senior Data Analyst;Honey;Los Angeles;4.0;30+
Sr. Data Analyst;Acorns;Irvine;4.5;30+
Accounting Finance Data Scientist;Competitive Analytics;Newport Beach;None;30+
Director, Marketing Data Science;Tinder;Los Angeles;4.8;30+
Statistical Analyst;Insight Research & Trading;Beverly Hills;None;30+
Machine Learning Engineer;StereoVision Imaging, Inc.;Calabasas;None;30+
Big Data Engineer (Hadoop/Machine Learning/Cloudera/Databric...;Derotek;Los Angeles;None;16
Behavioral Data Science Manager;mPulse Mobile;Encino;4.1;30+
Senior Marketing Data Analyst;Honey;Los Angeles;4.0;30+
Machine Learning Engineer;StereoVision Imaging, Inc.;Calabasas;None;30+
Scientist IV - Machine Learning and Computer Vision;HRL Laboratories, LLC;Malibu;3.5;30+
NLP Research Engineer (Los Angeles);DiDi Labs;Los Angeles;None;30+
Big Data Engineer (Hadoop/Machine Learning/Cloudera/Databric...;Derotek;Los Angeles;None;16
Senior Financial Data Analyst;Alignment Healthcare;Orange;2.9;30+
Computer Vision and Deep Learning Research Engineer;Eyenuk, Inc.;Los Angeles;None;30+
Regional Head of Business Development - AI & Machine Learnin...;Xen.ai;Los Angeles;None;30+
Senior Data Scientist;605;Pasadena;None;30+
Senior Business Intelligence (BI) / Data Analyst;Pluto TV;West Hollywood;None;30+
Applied Computational Mathematician / Engineer;Gustaine;Orange;None;30+
Sr. Project Data Analyst with SAS/SQL Skills;Master Planning Management;Pomona;None;30+
SENIOR DATA MINING ENGINEER;Trans Techno Infoway;Cypress;None;30+
Cloud Solutions Architect, Data Intelligence;Trace3;Irvine;3.3;30+
Machine Learning Engineer Manager;Tinder;Los Angeles;4.8;30+
Director, Data Science;Steady Platform;Playa Vista;None;30+
Machine Learning-Computer Vision Research Scientist;UtopiaCompression Corporation;Los Angeles;None;30+
Artificial Intelligence in Diagnostic Medicine (CAIDM) Speci...;The Regents of the University of California;Irvine;3.8;8
Sr Manager, Business Intelligence;OpenX;Los Angeles;3.7;30+
Sr. Data Analyst;Tamara Mellon;West Hollywood;None;30+
Machine Learning Engineer;Artie;Los Angeles;None;30+
Sr. Digital Data Analyst;Innocean;Huntington Beach;None;2
Sr. Business Data Analyst;Innocean;Irvine;None;30+
Staff Software Engineer, Machine Learning;Samsung Research America;Irvine;4.0;30+
